英雄,胜率,使用频率
敌法师,47.1077198774,7951875
斧王,52.601351713,8033362
祸乱之源,45.6041799821,1653787
嗜血狂魔,50.3708092719,7405694
水晶室女,55.0871108695,5002820
卓尔游侠,50.1334081181,7456068
撼地者,49.8537665551,4215178
主宰,49.95279105,9874187
米拉娜,51.7110753894,8388292
变体精灵,47.4716406714,4023103
影魔,47.8744368414,5010578
幻影长矛手,45.4510757108,2617432
帕克,43.8186963532,1900392
帕吉,53.0522432932,15137522
剃刀,45.0584410568,2239607
沙王,49.4768475542,4703218
风暴之灵,49.2665114798,5070018
斯温,54.0798496259,7459797
小小,44.9320864977,3186627
复仇之魂,52.1219029797,2864245
风行者,45.1052975883,4648587
宙斯,54.2539786362,4222741
昆卡,46.9919322258,4277264
莉娜,44.1610389741,3188992
莱恩,47.9018040836,5064732
暗影萨满,52.4566518663,3008261
斯拉达,51.7814233576,5109201
潮汐猎人,51.1289008464,2335679
巫医,50.0319468533,2992470
巫妖,54.0393827382,2181311
力丸,54.3073617287,8250793
谜团,52.1818351498,2207362
修补匠,47.5360540043,4725550
狙击手,51.6968745677,11080931
瘟疫法师,54.6875651759,4674847
术士,55.4950654306,2222585
兽王,46.2170313072,789499
痛苦女王,42.0567484486,2344487
剧毒术士,51.3870519272,2542695
虚空假面,47.0328463558,4984693
冥魂大帝,55.8428777433,5603891
死亡先知,45.787209659,1479898
幻影刺客,52.3248906821,14322910
帕格纳,46.5205692511,1607375
圣堂刺客,45.3769147534,2357549
冥界亚龙,48.8503749258,3348396
露娜,54.8496707497,5126647
龙骑士,49.4599183905,2478144
戴泽,51.6763814157,2405449
发条技师,50.6312165806,2115914
拉席克,45.50053076,850667
先知,40.9962467764,2949731
噬魂鬼,49.1143309887,5263140
黑暗贤者,49.5929266502,1332438
克林克兹,45.2884533767,2980603
全能骑士,59.4448711748,4457668
魅惑魔女,40.1471214852,1236801
哈斯卡,45.6040249317,4190481
暗夜魔王,49.8803971914,2016257
育母蜘蛛,39.507106089,916749
赏金猎人,45.9976923244,5114237
编织者,49.4958896388,3988214
杰奇洛,53.1934151304,2027375
蝙蝠骑士,45.1455406202,1314925
陈,42.3534221284,379150
幽鬼,55.0030589193,3360664
远古冰魄,50.5222365873,2100772
末日使者,43.3488913052,1320652
熊战士,54.0007948946,4961664
裂魂人,52.6061007012,5607880
矮人直升机,44.5955778745,1493897
炼金术士,48.89904736,5146225
祈求者,46.5687373994,10151817
沉默术士,53.7347256471,3774628
殁境神蚀者,49.5104987262,4188651
狼人,47.6386280535,1154943
酒仙,47.3807673564,759230
暗影恶魔,46.669743616,1447321
德鲁伊,40.0799501775,751468
混沌骑士,50.5776835506,2253656
米波,47.2646876157,2057754
树精卫士,53.9919452883,1789015
食人魔魔法师,54.6085442071,4885111
不朽尸王,50.7129514358,1714142
拉比克,46.12372205,4033315
干扰者,50.9005998792,2304464
司夜刺客,50.0258950278,3637764
娜迦海妖,46.0962509469,1081153
光之守卫,50.2117295042,1868894
艾欧,38.3318495604,667218
维萨吉,46.1410801721,497717
斯拉克,51.4181240338,10440060
美杜莎,51.4648857648,2858926
巨魔战将,49.5838784099,3255659
半人马战行者,55.5450425602,2577762
马格纳斯,47.6057033103,3225916
伐木机,48.8347782885,5474795
钢背兽,48.6738741107,3576395
巨牙海民,42.2167752786,1631496
天怒法师,47.0411606946,2141752
亚巴顿,55.5160492562,1951025
上古巨神,53.7826450354,1107902
军团指挥官,48.9075948802,11069062
工程师,46.7877976266,1736908
灰烬之灵,41.8619864051,2473423
大地之灵,42.3175205454,905554
孽主,54.2061098658,1674243
恐怖利刃,49.0292441078,1589380
凤凰,51.1285135101,1448587
神谕者,42.5666014146,993072
寒冬飞龙,46.3386226712,1377173
天穹守望者,42.9710225818,913746
