英雄,胜率,使用频率
敌法师,47.2253112058,8672396
斧王,52.4494743097,9322980
祸乱之源,45.7480193362,2098034
嗜血狂魔,50.3778894718,7861558
水晶室女,55.1333594573,5501972
卓尔游侠,50.6566807305,8837095
撼地者,49.920679341,4941966
主宰,50.0234982744,11136988
米拉娜,51.8796812278,9137560
变体精灵,47.7062587923,4889937
影魔,47.7175108094,5188064
幻影长矛手,45.4750274755,3000858
帕克,44.0350191336,2238205
帕吉,52.8980831452,16301965
剃刀,45.429536244,2903294
沙王,49.5193899294,5316368
风暴之灵,49.2396740839,5817571
斯温,54.562828268,8502391
小小,45.0191371062,3700664
复仇之魂,52.2185398146,3360724
风行者,45.1612909289,5320417
宙斯,54.3916971521,4958106
昆卡,47.5555747201,5449870
莉娜,44.3203993771,3653690
莱恩,47.7885355823,5974887
暗影萨满,52.6598505621,3490948
斯拉达,51.2988888939,5323704
潮汐猎人,50.3771122577,2819850
巫医,49.8986504682,3509143
巫妖,54.6049806282,2778003
力丸,54.222203134,9360066
谜团,51.8822018225,2283363
修补匠,47.5471156229,5612841
狙击手,51.7455063544,11609783
瘟疫法师,54.7292397017,5276863
术士,55.5448613885,2248370
兽王,46.4426901496,904827
痛苦女王,42.1544693632,2739171
剧毒术士,51.4876323148,2695088
虚空假面,47.1613808874,5936936
冥魂大帝,55.8727760671,6564834
死亡先知,46.7795904146,2054956
幻影刺客,52.165452656,16608860
帕格纳,46.4408511232,1834329
圣堂刺客,45.2698799386,2584427
冥界亚龙,48.8739426634,3572065
露娜,54.7808974215,5054459
龙骑士,49.3590743514,2583529
戴泽,51.7371366909,2930253
发条技师,50.5676407948,2187563
拉席克,45.6390151977,950932
先知,41.1153322301,3428001
噬魂鬼,48.9905502141,5620339
黑暗贤者,49.5008386018,1500116
克林克兹,45.6404763773,3797158
全能骑士,59.883151591,5277436
魅惑魔女,39.9385619221,1443079
哈斯卡,46.0169615124,5025849
暗夜魔王,49.8882876362,2343071
育母蜘蛛,39.559855971,1045067
赏金猎人,45.9079486953,6095818
编织者,49.1678146674,4124562
杰奇洛,53.2248064171,2157990
蝙蝠骑士,44.9042172095,1387932
陈,41.8637130899,432470
幽鬼,55.0103160142,4113992
远古冰魄,50.3758886989,2410687
末日使者,43.4465463758,1524471
熊战士,54.3678702612,5718565
裂魂人,52.5180898361,6122637
矮人直升机,44.5664728136,1722095
炼金术士,48.957006437,5184404
祈求者,46.7804068477,10954909
沉默术士,53.6803574212,4176809
殁境神蚀者,49.7159535665,4535174
狼人,46.3007588335,1208829
酒仙,47.5045572669,866199
暗影恶魔,45.7661279014,1604595
德鲁伊,39.8413822303,836098
混沌骑士,50.2449515455,2519682
米波,47.6290234363,2325624
树精卫士,53.5431687957,1594265
食人魔魔法师,54.3587820867,4768878
不朽尸王,50.7224886421,1870064
拉比克,46.1207764907,4179522
干扰者,50.9942003357,2567390
司夜刺客,50.0287732148,4071495
娜迦海妖,46.1153182775,1200729
光之守卫,50.1619943842,2250078
艾欧,37.1154012254,717826
维萨吉,44.4562771337,514582
斯拉克,51.0280634467,11316714
美杜莎,51.7226202126,3346675
巨魔战将,49.5526266225,3589172
半人马战行者,55.307642701,2981917
马格纳斯,46.9374569248,3039745
伐木机,48.8807603165,5623237
钢背兽,48.598861662,4172750
巨牙海民,42.0677580455,1826558
天怒法师,46.6713470784,2385830
亚巴顿,55.9341345302,2612841
上古巨神,54.2204095895,1396618
军团指挥官,49.0571085399,12122180
工程师,46.0522293561,1907165
灰烬之灵,41.6401753021,2635450
大地之灵,41.9769403024,948061
孽主,54.2572608132,2083100
恐怖利刃,49.0443884344,1786186
凤凰,51.3044496571,1682242
神谕者,42.4969343309,1294171
寒冬飞龙,46.0497716447,1509052
天穹守望者,43.0318890029,1053937
